date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gatherings,C4_Flag,C5_Close public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H6_Flag,H7_Vaccination policy,H7_Flag,H8_Protection of elderly people,H8_Flag,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
2020-01-31,2.0,2.0,0.2857142857142857,0.0,0.0,0.0,0.029,0.029,0.004208736247228305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.999999999999999,7.365288432649532e-05,7.365288432649534e-05,0.7142857142857143,1.0521840618070764e-05,2.8,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,8.33,8.33,9.52,9.52,13.02,13.02,14.88,14.88,0.0,0.0
2020-02-01,2.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.029,0.0,0.004208736247228305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94065256247052,5.940652562470519,8.750923920150785e-05,1.3856354875012528e-05,0.8486646517815029,1.2501319885929695e-05,2.8,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,8.33,8.33,9.52,9.52,13.02,13.02,14.88,14.88,0.0,0.0
2020-02-02,2.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.029,0.0,0.004208736247228305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1176180111269884,7.0582705735975075,0.00010397239722045663,1.6463158018948774e-05,1.008324367656787,1.485319960292238e-05,2.8,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0
2020-02-03,8.0,6.0,1.1428571428571428,0.0,0.0,0.0,0.118,0.088,0.01683494498891322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.327876060332951,8.386146633930458,0.00012353277759478168,1.9560380374325034e-05,1.1980209477043513,1.764753965639738e-05,2.572288021100005,0.38875895381745124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0
2020-02-04,8.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.118,0.0,0.01683494498891322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5776900640920424,9.9638366980225,0.00014677306235350813,2.3240284758726443e-05,1.423405242574643,2.0967580336215445e-05,2.572288021100005,0.38875895381745124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0
2020-02-05,9.0,1.0,1.286,0.0,0.0,0.0,0.133,0.015,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8745017044065335,11.838338402429034,0.00017438555379440266,2.7612491440894556e-05,1.6911912003470049,2.491222197062895e-05,1.5231250480313918,0.6565449115898131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0
2020-02-06,9.0,0.0,1.286,0.0,0.0,0.0,0.133,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.227152670727598,14.065491073156632,0.00020719279740131165,3.280724360690899e-05,2.0093558675938046,2.9598971057330232e-05,1.5231250480313918,0.6565449115898131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0
2020-02-07,9.0,0.0,1.0,0.0,0.0,0.0,0.133,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6461480440742022,16.711639117230835,0.0002461720845615075,3.8979287160195824e-05,1.673091302461548,2.4645600033573164e-05,3.339990441438893,0.299402054446956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0
2020-02-08,13.0,4.0,1.571,0.0,0.0,0.0,0.191,0.059,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.143969231741149,19.855608348971984,0.0002924845649918057,4.631248043029825e-05,1.9878508266430666,2.9282189398613985e-05,2.429031769050971,0.4116866698662828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0
2020-02-09,14.0,1.0,1.714,0.0,0.0,0.0,0.206,0.015,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.735445774574309,23.591054123546293,0.0003475098361003292,5.502527110852348e-05,2.361826221421255,3.479106269712465e-05,1.0578408544127498,0.9453217805197555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,2.54,81.32,0.932,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,11.11,11.11,14.29,14.29,14.58,14.58,16.67,16.67,0.0,0.0
